Feature,X_Value,Partial_Effect,CI_Lower,CI_Upper
E_fixed_GPa,0.424,-2719.8201717320962,-3067.4711685795014,-2372.169174884691
E_fixed_GPa,4.692444444444445,-2503.3052804411113,-2798.2040896229323,-2208.4064712592904
E_fixed_GPa,8.960888888888888,-2294.218598584638,-2544.0214491052666,-2044.4157480640097
E_fixed_GPa,13.229333333333333,-2094.5264504265483,-2308.8790986259137,-1880.173802227183
E_fixed_GPa,17.497777777777777,-1906.195160230713,-2096.189642682816,-1716.20067777861
E_fixed_GPa,21.766222222222222,-1731.1910522610044,-1907.747797111419,-1554.6343074105898
E_fixed_GPa,26.034666666666666,-1571.4774722842528,-1743.0648562638364,-1399.8900883046692
E_fixed_GPa,30.30311111111111,-1428.1471624139867,-1599.44055115808,-1256.8537736698934
E_fixed_GPa,34.571555555555555,-1300.2172935857197,-1472.6620809179913,-1127.7725062534482
E_fixed_GPa,38.839999999999996,-1186.4023331839428,-1359.2675590770548,-1013.5371072908308
E_fixed_GPa,43.108444444444444,-1085.4167485931466,-1256.6347442801489,-914.1987529061444
E_fixed_GPa,47.37688888888889,-995.975007197824,-1162.730736165162,-829.2192782304859
E_fixed_GPa,51.64533333333333,-916.7897138275449,-1076.009862535054,-757.5695651200359
E_fixed_GPa,55.913777777777774,-846.4760082273426,-995.9766688472897,-696.9753476073955
E_fixed_GPa,60.18222222222222,-783.5056479051705,-923.1621177974253,-643.8491780129157
E_fixed_GPa,64.45066666666668,-726.3389132365821,-857.8245856969036,-594.8532407762607
E_fixed_GPa,68.71911111111112,-673.4360845971306,-799.3362964754385,-547.5358727188227
E_fixed_GPa,72.98755555555556,-623.2574423623687,-745.8904599040817,-500.62442482065575
E_fixed_GPa,77.256,-574.3055990939258,-694.9428292804982,-453.66836890735334
E_fixed_GPa,81.52444444444446,-525.93445658233,-645.5481158396302,-406.32079732502973
E_fixed_GPa,85.7928888888889,-478.28631729074056,-598.4364528063768,-358.1361817751044
E_fixed_GPa,90.06133333333334,-431.5332149296016,-553.9021095810997,-309.1643202781036
E_fixed_GPa,94.32977777777779,-385.84718320935735,-511.3236809034471,-260.3706855152676
E_fixed_GPa,98.59822222222223,-341.4002558404523,-469.4017450480806,-213.398766632824
E_fixed_GPa,102.86666666666667,-298.3293655630997,-426.92476117249277,-169.73396995370666
E_fixed_GPa,107.13511111111112,-256.416433742095,-384.1608432358753,-128.67202424831478
E_fixed_GPa,111.40355555555556,-215.23724479437413,-342.2368652279211,-88.23762436082716
E_fixed_GPa,115.67200000000001,-174.36504400418863,-301.86721224959433,-46.86287575878296
