Feature,Importance_Mean,Importance_STD
E Fixed,1.0307246824657748,0.06185759409995427
rho Free,0.5562182019315446,0.06543120387839717
nu Free,0.3132748216292159,0.035146976407074385
E Free,0.18104270148577553,0.01738623544478819
rho Fixed,0.03988098160540874,0.009051603988380995
nu Fixed,0.03558095637183422,0.00366650874855293
