Model,CV_R2_mean,CV_R2_std,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std
XGBoost,0.9894145007078523,0.0091631198782693,66.37616560983517,9.587878208087737,138.65266588805156,62.387896572216775
ExtraTrees,0.9860674174697719,0.01320033930798135,74.3603166544046,15.994287848549584,156.95393569892175,77.76938336392384
GradientBoosting,0.9845496671301308,0.00976433864388081,93.51636687402687,10.132677220289697,171.71430952709397,58.54520469610069
RandomForest,0.983218519921895,0.013457663036955673,87.45350035384672,12.808249314958342,175.7578711286018,73.55711569496769
HistGradientBoosting,0.9810750821057092,0.013966776470392371,87.14000306357715,11.039729622726712,187.93055214798042,74.51098977900682
SVR,0.5479676063359715,0.08019881835000922,608.5554380484498,60.35454258534097,955.6789667389334,137.1659485697425
